SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_NM,BULD_DONG_NM,BULD_MAIN_ATACH_SE_CODE,BULD_PLOT_AR,BULD_BILDNG_AR,BULD_TOTAR,MEASRMT_RT,BTL_RT,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,DETAIL_PRPOS_CODE,DETAIL_PRPOS_CODE_NM,BULD_PRPOS_CL_CODE,BULD_PRPOS_CL_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,PRMISN_DE,USE_CONFM_DE,FRST_REGIST_DT
217853.568 448978.337 217841.468 448975.857 217842.798 448971.337 217852.098 448972.997 217853.938 448975.767 217853.568 448978.337,0000217847824489747900000000,4145010800103250001,41450,10800,1,0325,0001,8577,41450,5539,1,2,,,0,91,57.17,159.86,175.67,62.82,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,3,0,,,2019-01-02Z
217829.078 448964.787 217827.258 448973.838 217818.218 448972.198 217815.468 448969.468 217816.357 448966.288 217818.788 448966.577 217819.338 448964.848 217823.198 448965.628 217824.038 448964.998 217824.248 448964.107 217829.078 448964.787,1983217822794489688700000000,4145010800103250006,41450,10800,1,0325,0006,8186,41450,5540,1,2,,,0,0,67.98,132.96,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,19831002,2019-01-02Z
217862.388 448975.237 217871.328 448970.117 217876.988 448979.197 217874.008 448981.017 217873.078 448979.857 217871.118 448980.897 217870.278 448979.807 217867.728 448981.207 217866.388 448981.197 217862.388 448975.237,2002217869724489764000000000,4145010800103250008,41450,10800,1,0325,0008,10436,41450,5541,1,2,,,0,135,80.88,404.4,283.55,59.91,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,14.5,5,0,20020315,20021028,2019-01-02Z
217864.928 448960.097 217868.978 448966.747 217860.178 448972.397 217856.038 448965.267 217864.928 448960.097,1996217862494489661600000000,4145010800103250009,41450,10800,1,0325,0009,8124,41450,5542,1,2,,,0,136.7,80.97,239.09,174.9,59.23,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,8.9,3,0,19960610,19961015,2019-01-02Z
217865.258 448958.877 217856.508 448963.887 217853.188 448958.447 217857.478 448956.007 217856.978 448955.147 217861.437 448952.497 217865.258 448958.877,1983217859254489583100000000,4145010800103250010,41450,10800,1,0325,0010,8653,41450,5543,1,2,,,0,0,49.5,99,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,19830407,19830704,2019-01-02Z
217876.048 448956.327 217867.448 448961.397 217863.388 448954.987 217867.028 448952.837 217867.467 448953.557 217870.578 448951.547 217872.118 448953.977 217873.628 448952.937 217876.048 448956.327,1985217869464489562200000000,4145010800103250011,41450,10800,1,0325,0011,8658,41450,5544,1,2,,,0,0,46.4,92.8,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,19830414,19850115,2019-01-02Z
217881.358 448963.327 217872.998 448968.477 217868.958 448962.537 217872.778 448959.597 217873.448 448960.517 217877.978 448957.827 217881.358 448963.327,1983217875134489630400000000,4145010800103250012,41450,10800,1,0325,0012,8656,41450,5545,1,2,,,0,0,49.26,98.52,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,19830407,19830719,2019-01-02Z
217894.608 448971.627 217899.048 448969.066 217903.868 448976.556 217895.519 448981.576 217893.528 448977.876 217894.078 448977.586 217892.338 448974.846 217895.328 448972.886 217894.608 448971.627,1983217897854489753800000000,4145010800103250016,41450,10800,1,0325,0016,10469,41450,5548,1,2,,,0,0,60.48,119.46,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,19830715,2019-01-02Z
217890.828 448962.466 217891.038 448962.797 217894.658 448960.616 217898.728 448967.606 217890.118 448972.537 217885.868 448965.216 217890.828 448962.466,1983217892294489665200000000,4145010800103250017,41450,10800,1,0325,0017,7855,41450,5549,1,2,,,0,0,49.62,98.12,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,19830702,2019-01-02Z
217883.878 448952.226 217887.838 448949.686 217892.328 448956.646 217883.488 448961.977 217880.268 448956.747 217884.698 448953.916 217883.878 448952.226,1983217886274489560400000000,4145010800103250018,41450,10800,1,0325,0018,7849,41450,5550,1,2,,,0,0,49.5,99,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,19830407,19830827,2019-01-02Z
